格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
19|narration|公园早已荒废。|荒凉|scene|荒废公园/杂草
20|narration|杂草从石板路的缝隙里疯长，一座儿童滑梯歪斜着，塑料滑道里积满了黑色的雨水。|破败|scene|石板路/杂草/滑梯/黑色雨水
21|narration|最深处，是一座石桥。|悬念|scene|石桥/公园深处
22|narration|桥不大，横跨在一条干涸的河床上。|平静|scene|石桥/干涸河床
23|narration|桥洞的阴影在夕照里显得格外浓重，像一张张开的嘴。|诡异|supernatural|桥洞/阴影/夕照/嘴
24|narration|祁思远看见一个女人走进了那个阴影里。|惊异|supernatural|祁思远/女人/桥洞阴影
25|narration|他不能确定自己看见了什么。|困惑|character|祁思远/不确定
26|narration|只是一瞬间，一个背影，一件暗色的风衣，消失在桥洞的暗处。|恍惚|supernatural|背影/暗色风衣/桥洞暗处
27|narration|但那画面刺进他眼睛里，像一根针。|刺痛|abstract|画面/针/眼睛
28|narration|他鬼使神差地跟了上去。|着魔|supernatural|祁思远/跟随/桥洞
29|narration|桥洞里比外面暗得多。|压抑|scene|桥洞/黑暗
30|narration|不是普通的暗，是那种眼睛适应了十分钟也看不清任何细节的暗。|窒息|supernatural|桥洞/极致黑暗
31|narration|空气里有一股奇怪的味道——不是霉味，也不是垃圾的腐臭，而是一种更刺鼻的、像电线烧焦之后混合着什么东西的、令人作呕的硫磺味。|恶心|supernatural|桥洞/硫磺味/烧焦味
32|narration|那个女人不在里面。|毛骨悚然|supernatural|桥洞/女人消失
33|narration|祁思远站在桥洞中央，前后都能看见出口的光。|紧张|character|祁思远/桥洞中央/出口光
34|narration|几米外就是夕阳，就是那片杂草丛生的荒地。|对比|scene|夕阳/荒地/出口
35|narration|但他没有动。|僵住|character|祁思远/静止
36|narration|因为他看见了墙上的东西。|惊骇|supernatural|墙上/刻痕/桥壁
37|narration|那些刻痕——如果那是刻痕的话——覆盖了整个桥洞的内壁。|震惊|supernatural|刻痕/桥洞内壁/全覆盖
38|narration|它们不像是刀刻的，更像是从墙里面生长出来的，像血管，像根系，密密麻麻地交错在一起。|恐怖|supernatural|刻痕/血管/根系/生长
39|narration|有些地方像集成电路的线路图，有些地方又像某种古老的符咒，但都扭曲着，痉挛着，仿佛在承受巨大的痛苦。|诡异/痛苦|supernatural|集成电路/符咒/扭曲/痉挛
40|narration|更可怕的是，它们在发光。|恐惧加剧|supernatural|刻痕/发光
41|narration|那是一种很微弱的光，像腐烂的木头上的磷光，但它们是活的——它们在一明一暗地搏动，像心跳。|战栗|supernatural|磷光/搏动/心跳/活的
42|narration|祁思远想跑。|恐惧|character|祁思远/逃跑冲动
43|narration|他的大脑向双腿发出了指令，但双腿没有回应。|惊恐|character|祁思远/动弹不得
44|narration|他想喊，喉咙像被什么东西堵住了，只能发出一声短促的、像溺水者吐气般的闷响。|窒息/无助|character|祁思远/喉咙堵住/闷响
45|租客|"你在找什么？"|冰冷|supernatural|声音/颅骨内部/炸响
46|narration|那个声音不是从某个方向传来的。|诡异|supernatural|声音/无方向
47|narration|它直接出现在祁思远的颅骨内部，在他的大脑皮层上炸响。|震撼|supernatural|颅骨内部/大脑皮层/声音
48|narration|那是一个男人的声音，空洞，冰冷，带着一种金属的质感，像是用铁皮刮过玻璃之后留下的回音。|毛骨悚然|supernatural|男人声音/金属质感/铁皮刮玻璃
49|narration|祁思远终于能动了。|解脱|character|祁思远/恢复行动
50|narration|他踉跄着后退，后背撞上了另一侧的桥壁。|惊慌|character|祁思远/后退/撞墙
51|narration|那些发光的刻痕近在咫尺，他甚至能感觉到它们散发出的微微的热量。|恐惧|supernatural|刻痕/发光/热量
52|租客|"别费劲了。"|慵懒戏谑|supernatural|声音/戏谑
53|租客|"这里是世界的夹缝。"|冰冷|supernatural|世界夹缝
54|租客|"你喊破喉咙，外面的人也听不见。"|戏谑|supernatural|隔绝/无人听见
55|租客|"就像你听不见蚂蚁的惨叫——如果你踩过蚂蚁的话。"|残忍戏谑|supernatural|蚂蚁/惨叫/比喻
56|narration|祁思远大口喘着气，冷汗已经浸透了衬衫。|惊恐/虚弱|character|祁思远/喘息/冷汗
57|祁思远|"你……你是谁？这是什么东西？"|颤抖/恐惧|character|祁思远/质问/声音颤抖
58|租客|"我？"|思考|supernatural|声音/停顿
59|租客|"你可以叫我……租客。"|玩味|supernatural|租客/自称
60|租客|"一个暂时借住在这里的房客。"|随意|supernatural|房客/借住
61|租客|"你呢，你是来参观的？还是来应聘的？"|戏谑|supernatural|参观/应聘/挑衅
62|祁思远|"什么应聘？"|困惑|character|祁思远/应聘
63|租客|"别装了。"|轻蔑|supernatural|别装
64|narration|那个声音低低地笑起来，笑声里带着某种令人牙酸的摩擦音。|不适|supernatural|笑声/摩擦音/牙酸
65|租客|"你走进来的时候，眼睛里写满了厌倦。厌倦了假装，厌倦了挣扎，厌倦了这具皮囊。"|锐利|supernatural|厌倦/假装/挣扎/皮囊
66|租客|"你和我见过的那些容器一模一样。"|冷酷|supernatural|容器/评价
67|narration|容器。|刺痛|abstract|容器/钝刀
68|narration|这个词刺进祁思远心里，像一把钝刀。|刺痛|character|祁思远/钝刀/刺痛
69|租客|"我能给你一个机会。"|诱惑|supernatural|机会/诱惑
70|租客|"让你不再是个废物，让你拥有改变一切的力量。"|煽动|supernatural|力量/改变/废物
71|租客|"只要你肯付出一点点代价。"|轻描淡写|supernatural|代价/条件
72|祁思远|"什么代价？"|紧张|character|祁思远/代价
73|租客|"杀人。"|冰冷|supernatural|杀人/两个字/巨石
74|narration|这两个字轻飘飘地落下来，落在祁思远的耳膜上，却像两块巨石。|震撼|abstract|杀人/耳膜/巨石
75|祁思远|"你在说什么……杀人？我不……"|喃喃/拒绝|character|祁思远/喃喃/否认
76|租客|"听我说完。"|打断/不耐烦|supernatural|打断/说完
77|租客|"不是让你拿刀去砍，不是让你去扣扳机。"|解释|supernatural|刀/扳机/否定
78|租客|"只是让你……选择。"|诱导|supernatural|选择
79|租客|"这座城市，方圆几百公里，只要你在心里勾勒出某个人的样子，只要你能锁定他——他的死，就会在二十四小时内发生。"|诱惑|supernatural|心念锁定/二十四小时/死亡
80|租客|"不需要你动手，不需要你靠近，甚至不需要你知道他具体在哪里。"|轻描淡写|supernatural|无需动手/无需靠近
81|租客|"你只需要说一声：这个人，该死。"|诱导/笃定|supernatural|一句话/该死
82|narration|祁思远呆住了。|震撼/呆滞|character|祁思远/呆住
83|租客|"作为回报，你会活下来。"|诱惑|supernatural|回报/活下来
84|租客|"你会活得比现在好一百倍。"|承诺|supernatural|好一百倍
85|租客|"你能重新找到工作，能不再恐惧每个清晨的到来，能像个正常人一样——不，比正常人更有力量。"|煽动|supernatural|工作/清晨/力量
86|租客|"你只是需要定期献上一点祭品。"|轻描淡写|supernatural|定期/祭品
87|租客|"就像……给花浇水。"|比喻/随意|supernatural|浇水/比喻
88|租客|"你不浇水，花就会死。"|威胁|supernatural|不浇水/花死
89|租客|"你不献祭——"|威胁/停顿|supernatural|不献祭/威胁
90|narration|一阵剧痛从左臂传来。|突然剧痛|supernatural|剧痛/左臂
91|narration|祁思远惨叫一声，低头看去，他的左手正在死去。|惨叫/惊恐|character|祁思远/惨叫/左手死去
92|narration|不是形容词，是字面意义上的死去。|强调/恐怖|supernatural|字面意义/死去
93|narration|皮肤以肉眼可见的速度变成灰黑色，像烧焦的树皮。|恐怖|supernatural|皮肤/灰黑色/树皮
94|narration|那黑色沿着血管向上攀爬，所过之处，肌肉干瘪，失去知觉。|惊骇|supernatural|黑色/血管/肌肉干瘪
95|narration|他能感觉到有什么东西正在被抽走——不是血，是比血更本质的东西，是他的生命本身。|绝望|supernatural|生命/被抽走/本质
96|租客|"现在只是手臂。"|冷酷|supernatural|手臂/现在
97|租客|"接下来是内脏，最后是你的大脑。"|威胁|supernatural|内脏/大脑/渐进
98|租客|"我没有时间劝说一具尸体。"|冰冷|supernatural|尸体/时间/无情
99|narration|黑色的坏死线已经爬到了手肘。|紧迫|supernatural|坏死线/手肘
100|narration|祁思远能感觉到它在逼近心脏，每向上爬一厘米，他的心跳就弱一分。|恐惧/濒死|character|祁思远/心脏/心跳减弱
101|narration|死亡的冰冷触感从骨髓深处涌起，那不是恐惧，那是比恐惧更真实的东西——是身体在告诉他：你要没了。|濒死/绝望|character|骨髓/冰冷/死亡/你要没了
102|祁思远|"我答应！我答应你！"|尖叫/崩溃|character|祁思远/尖叫/答应
103|narration|黑色的线停在手肘处，然后，像潮水一样退去了。|戛然而止|supernatural|黑线/手肘/退潮
104|narration|皮肤恢复了血色，手指能动了，知觉回来了。|劫后余生|character|祁思远/血色恢复/手指
105|narration|祁思远瘫软在桥洞里，大口喘息，眼泪和鼻涕糊了一脸。|崩溃/虚脱|character|祁思远/瘫软/眼泪鼻涕
106|租客|"很好。"|愉悦|supernatural|很好/满意
107|租客|"四小时。我给你四小时，找到第一个祭品。"|命令/紧迫|supernatural|四小时/第一个祭品
108|租客|"别想逃，别想耍花样。我的眼睛在你每一个细胞里。"|警告/威胁|supernatural|别逃/细胞/监控
109|租客|"去吧。"|命令|supernatural|去吧
110|narration|桥洞外的夕阳已经变成了深橙色。|时间流逝|scene|夕阳/深橙色/桥洞外
111|narration|祁思远踉跄着跑出去，跑过那片荒草地，跑过那扇生锈的铁门，跑回那条待拆的街道，一直跑到双腿发软，跪倒在一盏还没亮起的路灯下。|崩溃/逃生|character|祁思远/奔跑/荒草地/铁门/路灯
112|narration|他低头看自己的左手。|紧张|character|祁思远/左手
113|narration|干干净净，什么都没有。|释然/诡异|character|左手/干净/痕迹消失
114|narration|但他知道，有什么东西已经不一样了。|不安/宿命|abstract|不一样/命运转折
