以下是按原文逐句改编的漫画分镜表（共74格）：

```
格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
61|神秘存在|无论他在哪里，无论他在做什么。二十四小时内，他会死。|笃定、不可违逆|supernatural|沙漏与倒计时意象

62|神秘存在|不过……为了奖励你的效率，我决定让这个进程加快一点。去吧，感受一下力量的滋味。|慷慨施舍、诱人堕落|supernatural|黑暗中的光芒变得锐利而诱惑

63|narration|祁思远感到一阵寒意从自己体内剥离。|奇异体感|supernatural|体内抽出寒光的视觉化

64|narration|那是一种很奇怪的感受，像是有什么东西从他身体里抽出去，抽出去之后，他反而觉得更轻了，更空了。|异样、空洞化|character|祁思远身体变得半透明，有光被抽离

65|narration|那股寒意化作一阵看不见的风，呼啸着向城市的西南方掠去。|超自然力量释放|supernatural|无形之风从祁思远体内吹向城市上空

66|narration|他不知道西南方有什么。|茫然|character|祁思远望向西南方向

67|narration|但那一刻，他感觉到了——他感觉到了那个方向，感觉到了那个方向的某个点上，有一个模糊的、但确实存在的联系。|感知连接、直觉|supernatural|祁思远胸口延伸出隐约的丝线，探向远方

68|narration|像一根看不见的丝线，从他心脏的位置延伸出去，一直延伸到很远很远的地方。|连接建立|supernatural|丝线从心脏出发，穿过城市天空

69|narration|然后，那根丝线断了。|断裂、完成|supernatural|丝线崩断，光点消散

70|narration|申市某物流园，沈骏正叼着烟往车上搬货。|日常、无知|scene|物流园仓库，沈骏叼烟搬货

71|narration|他刚把一箱沉重的机器甩上托盘，心脏猛地一缩，像是被一只看不见的手狠狠捏了一下。|剧痛、突袭|supernatural|沈骏胸口被无形之力捏紧，表情扭曲

72|narration|他张开嘴想喊什么，但那只手没给他机会。|无声的恐惧|character|沈骏张嘴却发不出声

73|narration|第二次收缩来得更快、更狠，直接捏爆了他的心脏。|死亡降临|supernatural|心脏爆裂的意象，黑暗吞没

74|narration|他直挺挺地栽倒在水泥地上，烟头滚落在一边，还在冒烟。|死亡定格|scene|沈骏倒在地上，烟头滚落冒烟

75|narration|二十分钟后，急救人员赶到，给出的结论是：突发性心源性猝死。|程序性收尾|scene|救护车与急救人员，担架上的尸体袋

76|narration|没人知道，几公里外的一个公园长椅上，一个失业青年刚刚完成了他人生的第一次裁决。|反讽、静谧|scene|公园远景与物流园死亡场景的对比分屏

77|narration|祁思远坐在那里，看着自己的双手。|恍惚、自我审视|hand|祁思远低头看自己双手的大特写

78|narration|他没有发抖，没有恶心，没有想吐。|异常平静|character|祁思远平静得反常的面容

79|narration|他只是觉得冷——不是身体上的冷，是那种从骨髓里渗出来的、怎么也捂不暖的冷。|灵魂寒意|character|祁思远抱紧自己，冷意从骨髓溢出

80|narration|手机响了。|打破寂静|hand|手机屏幕亮起，夜色中格外刺眼

81|narration|是一条短信，来自一个他投过简历的公司："祁思远先生，恭喜您通过初筛，请于明日上午10点来我司参加面试。"|荒诞反讽|hand|手机屏幕特写：面试通知短信

82|narration|他看着那条短信，看了很久。|复杂沉默|character|祁思远凝视手机，表情难以捉摸

83|narration|然后他把手机揣进口袋，站起身，往地铁站走去。|重启日常|scene|祁思远起身，走向地铁站入口

84|narration|天已经完全黑了。|终幕、余韵|scene|城市夜景，天空全黑，祁思远背影融入夜色
```

**统计**：共84格，涵盖原文章节标题及全部83个句子级单元。覆盖角色：祁思远（主角）、narration（叙述旁白）、神秘存在（超自然声音）。审核类型分布：scene 23格 / character 27格 / abstract 12格 / supernatural 15格 / hand 7格。
