我将第八章《佘山之门》逐句转为漫画改编层。按规则每句=1格，不合并。

---

```
格号|角色|台词或旁白文字|情绪|审核类型|场景关键词
56|narration|佘山最高处的那块巨石比他记忆中的更大——小时候学校组织春游来过一次，那时候觉得它只是一块普通的岩石。|回忆/对比|scene|巨石/童年春游
57|narration|此刻在视觉回路的映射下，巨石的表面浮现出一层细小而密集的刻痕。|发现/异象|supernatural|视觉回路/刻痕浮现
58|narration|那些刻痕和桥洞内壁的发光纹路一模一样：不是文字，不是符号，而是一种介于几何图案与脉搏跳动之间的"结构"——它们在黑暗中微微发光，频率极慢，像某种深水生物的呼吸。|神秘/共鸣|supernatural|刻痕/发光纹路/几何图案/脉搏/深水生物呼吸
59|narration|陈姝已经在那里了。|出现/等待|character|陈姝/山顶
60|narration|她背对着他坐在巨石上，一条腿垂下来晃荡，校服裙摆在夜风里轻微摆动。|随性/背影|character|背对坐/晃腿/校服裙摆
61|narration|月光把她的轮廓勾出一道锋利的银边。|冷艳/轮廓|scene|月光/银边/轮廓
62|narration|手里剥着一颗棒棒糖，彩色的糖纸在指间翻了两次，搓成一个小球，弹进草丛里。|漫不经心|hand|棒棒糖/糖纸/搓球/弹入草丛
63|陈姝|"你很准时。"|淡然/认可|character|陈姝开口
64|narration|她没有回头。|疏离/不动|character|未回头
65|narration|祁思远站在原地，与她的背影之间隔着大约五米的山顶空地。|距离/对峙|scene|五米距离/山顶空地
66|narration|夜风从山下灌上来，把他的外套吹得猎猎作响。|风势/氛围|scene|夜风/外套猎猎
67|祁思远|"你说的那个东西——门。它一直在开着？"|试探/确认|character|问门
68|陈姝|"半开。就像一扇没关严的窗户。随便推一把就能过，但要找准角度。"|轻松/隐喻|supernatural|半开/窗户/找准角度
69|narration|她终于转过身来。|转身/面对|character|转身
70|narration|月光下她的脸看起来比烧烤摊那天晚上更年轻，但也更疲惫。|疲惫/年轻反差|character|月光下/更年轻/更疲惫
71|narration|眼角有一点点红血丝，像是好几天没怎么睡。|憔悴/细节|character|红血丝/缺觉
72|陈姝|"电子设备呢？"|盘问/确认|character|电子设备
73|祁思远|"全处理了。"|果断|character|全处理
74|陈姝|"身份呢？"|盘问|character|身份
75|祁思远|"只留了现金。"|回答|character|只留现金
76|陈姝|"舍不得的东西？"|追问/试探|character|舍不得的东西
77|narration|祁思远沉默了几秒钟。他的脑海里闪过了很多画面——周姐递离职证明时那张折痕整齐的A4纸，林小燕从隔板后面探出的半张脸，母亲在电话那头说"远子你在那边要注意身体"。|闪回/眷恋/沉默|character|A4纸折痕/林小燕半张脸/母亲叮嘱
78|祁思远|但他开口说的只是三个字："没有了。"|克制/断绝|character|没有了
79|narration|陈姝盯着他的眼睛看了两秒，似乎在确认他是不是在撒谎。|审视|character|盯眼/确认撒谎
80|陈姝|她从石头上跳下来，拍了拍手上的灰，"准备好没有？"|干脆/转折|hand|跳下石头/拍灰/发问
81|narration|准备好了没有。祁思远想笑。他不知道该怎么回答。|荒诞/无言|abstract|想笑/不知回答
82|narration|一个人被问"准备好去未来没有"，无论如何都不会准备好。|荒诞/哲学|abstract|准备好去未来
83|祁思远|"有什么需要注意的吗？"|务实/准备|character|注意事项
84|陈姝|"穿越的时候别睁眼。实际上你最好把眼睛闭上，嘴巴闭上，脑子也别乱想。凡人的感知带宽太窄了，高维空间的信号量会直接冲垮你的体感回路。你会疼，但忍过去就好了。"|冷静/警告|supernatural|闭眼/感知带宽/高维信号/体感回路
85|祁思远|"多久？"|简短/关切|character|多久
86|陈姝|"主观时间，大概十几秒。客观时间——这个不太有意义，时间线折叠的时候，因果链会暂时脱序。你可能会觉得过了一秒，也可能觉得过了一年。别信那些感觉，信我。"|专业/笃定|supernatural|主观时间/时间线折叠/因果链脱序
87|narration|祁思远看着她。月光从云隙里漏下来一绺，照在她脸上。|凝视/氛围|scene|月光云隙/照脸
88|陈姝|她想了一下，又补充了一句："如果中间你觉得自己死了，也不要信。那是存在的暂时退相干，只是一种错觉。"|冷静/补充|supernatural|觉得自己死/退相干/错觉
89|祁思远|"你经常穿越，所以这些话你已经对很多人说过了？"|试探/在意|character|经常穿越/对很多人说过
90|陈姝|她没回答。沉默了两秒。然后说："你是第一个。"|停顿/真诚/特殊|character|沉默两秒/你是第一个
91|narration|山风忽然变大了，从东面灌过来，带着一种不该在这个季节出现的冷。|突变/异常|scene|山风变大/异常寒冷
92|narration|祁思远发现自己的手指在微微发抖。不是因为害怕——或者说不只是因为害怕。|颤抖/深层情绪|hand|手指发抖
93|narration|是他身体里某个他不理解的部分，正在对即将发生的事情产生一种本能的、动物性的预警。|本能/预警|supernatural|身体预警/动物性
94|narration|陈姝伸出手。|动作/仪式|hand|伸出手
95|陈姝|"握住我的手腕。不要放。发生任何事都不要放。"|命令/保护|hand|握手腕/不放
96|narration|他握住了。她的手腕比他想象的要细，但握上去有一种不正常的温度——不是体温，是某种从内部散发出来的、微弱的、持续的振动感，像是皮肤下面埋着一根极细极细的琴弦。|触感/异样|hand|握住手腕/振动感/琴弦
97|narration|陈姝的另一只手举起来，五指张开，对着空气。|准备/仪式|hand|举手/五指张开/对空气
98|narration|然后她开始做一件祁思远完全看不懂的事。|陌生/悬念|supernatural|看不懂的动作
99|narration|她的手指在空气里划动，不是随意的——有某种精确的轨迹，像是在看不见的表面上画线。|精准/仪式|hand|手指划动/精确轨迹/凭空画线
100|narration|每划一道，空气里就留下一丝微光，蓝得几乎透明，细得像蛛丝，在夜风里颤动。她划了七道。|奇幻/仪式|supernatural|微光/蓝透明/蛛丝光/七道
101|narration|七道蓝线悬在半空中，形成一个不规则的几何图案。|悬浮/几何|supernatural|七道蓝线/不规则几何
102|narration|然后她掌心一翻。|关键瞬间|hand|掌心翻
103|narration|七道线同时崩断。|崩断/触发|supernatural|线崩断
104|narration|世界忽然安静了。|瞬间/异变|supernatural|世界安静
105|narration|不是安静——是从远处开始，一层一层地向内塌缩。他先看见远处山脚下的城市光斑暗下来，不是熄灭，是被压扁了——正常的三维空间在他眼前被拍成了一张没有厚度的照片，然后是天空，然后是脚下的山，然后是他自己的身体。|坍缩/维度崩溃|supernatural|空间塌缩/压扁/三维→二维/城市/天空/山/身体
106|narration|一切都变成了光的薄片，一层叠着一层，像是有人在翻一本无限大的书，每一页都是一个完整的瞬间——他在桥上走过的那个雨夜，他第一次看见罪业红光的电梯间，烧烤摊上那串凉透的羊肉，陈姝的脸在月光下一寸一寸溶解——|意识流/一生浓缩|supernatural|光之薄片/翻转书页/雨夜/罪业红光/凉羊肉/陈姝溶解
107|narration|他闭眼已经来不及了。|无可挽回|supernatural|来不及闭眼
108|narration|视觉先于任何其他感官被撕裂。他看见——不是"看见"，是某种更原始的感知——世界的表皮从一个点被撕开，那个点越来越亮，越来越近，从一个针孔扩大成一个漩涡，从漩涡扩大成一个没有边界的开口。|撕裂/维度撕裂|supernatural|感官撕裂/世界表皮/针孔/漩涡/无边开口
109|narration|开口内的颜色不是黑，不是白，不是他在可见光谱里见过的任何东西。是一种介乎于存在与不存在之间的状态，像一道永远没有问号的疑问。|超越/不可描述|supernatural|不可见颜色/存在与不存在之间/无问号疑问
110|narration|然后声音没了。然后触觉也没了。|感官剥夺|supernatural|声音消失/触觉消失
111|narration|他不知道自己还有没有身体。|存在疑惑|abstract|身体存疑
112|narration|他在某个无法描述的"里"——他想用"里面"这个词，但这个词在这里失效了，因为没有"外面"。|失语/超维度|supernatural|无内无外/词语失效
113|narration|所有方向都是一条方向。所有距离都是一段距离。他自己被拉长成一条无限细的线，穿过一个无限窄的孔，在所有的时间碎片中滑行。|拉长/穿越|supernatural|无限细线/无限窄孔/时间碎片滑行
114|narration|他想起小时候在物理课上学过的一句话——任何足够先进的技术都与魔法无异。|闪回/引用|abstract|物理课/技术魔法
115|narration|但这不是技术，也不是魔法。这是宇宙操作系统的底层漏洞，而他现在正被塞进这个漏洞里。|超越/终极认知|supernatural|宇宙操作系统/底层漏洞
116|narration|他想喊陈姝的名字，但他没有嘴。|无助/失去自我|abstract|无嘴/喊不出
117|narration|他觉得自己死了。连续三次。每一次都真实到不容置疑——心跳停止的沉重、意识边缘的溶解、自我边界的瓦解。|死亡体验/反复|supernatural|死了三次/心跳停止/意识溶解/自我瓦解
118|narration|每一次他都想起陈姝的话：不要信。|锚点/坚持|abstract|想起陈姝/不要信
119|narration|第四次的时候，他不再挣扎。|放弃/顺从|abstract|第四次/不挣扎
120|narration|然后一切都回来了。|重生/归来|supernatural|一切回来
121|narration|他先感觉到的是地面。|触感恢复|hand|地面
122|narration|不是佘山的碎石地面，而是一种平滑的、微微带有弹性的材质，带着冰冷的温度。|陌生/异质感|hand|平滑弹性地面/冰冷
123|narration|他的膝盖跪在上面，他的手掌撑在上面。|跪姿/支撑|hand|跪地/手掌撑地
124|narration|他能感觉自己的肺在收缩和扩张，空气涌进来——空气不对。|呼吸/异常|hand|肺收缩/空气不对
125|narration|空气不对。|重复/强化|scene|空气异常
126|narration|不只是冷。是密度不同，或者成分不同，或者某种他不理解的参数不同。|认知/不适|scene|密度/成分/参数不同
127|narration|他咳嗽了一声，然后又是一声，肺叶像是第一次学会呼吸。|生理反应/新生|hand|咳嗽/肺叶学呼吸
128|陈姝|"慢慢来。"|安抚/陪伴|character|慢慢来
129|narration|陈姝的声音就在旁边，近得让他心安。他睁开眼睛。|安心/睁眼|hand|声音/心安/睁眼
130|narration|他们跪在一个巷道的拐角。|定位/场景转换|scene|巷道拐角/跪着
131|narration|两侧是墙壁——不是砖，不是水泥，是一种灰白的、带有微弱荧光纹路的材质，裂缝里渗着淡青色的光。|异世界/细节|scene|灰白墙/荧光纹路/裂缝淡青光
132|narration|头顶是一条窄长的天空，颜色让祁思远愣了很久。|震撼/凝视|scene|窄长天空/愣住
133|narration|天空是蜜色的。|色彩冲击|scene|蜜色天空
134|narration|不是夕阳的那种蜜色。是一种均匀的、没有渐变的、不像是太阳照亮的蜜色。|不自然/人工感|scene|均匀蜜色/无渐变/非太阳
135|narration|整个天空就是一整块稳定发光的平面，没有云，没有比地平线更深的层次感。|平面/异质感|scene|发光平面/无云/无层次
136|narration|它看起来像一块巨大的、被推到头顶之外的屏幕，正在显示某种默认背景。|比喻/解读|scene|屏幕/默认背景
137|陈姝|"还能站起来吗？"|关心/实际|character|站起来
138|narration|他试了一下。腿在抖，但使上了力。|努力/虚弱|hand|腿抖/使力
139|narration|他扶着墙站起来，膝盖还有刚才跪地的刺痛感。|疼痛/恢复|hand|扶墙站/膝盖刺痛
140|narration|痛感是好的。痛感证明他的神经回路还在工作。|确认/庆幸|abstract|痛感/神经回路
141|祁思远|"过了多久？"|迷茫/询问|character|时间
142|陈姝|"客观时间的话——二十三年零七个半月。从你的2024年到现在的2047年。"|平静/残酷|supernatural|二十三年/2024→2047
143|narration|祁思远靠在墙上，没说话。|沉默/消化|character|靠墙/沉默
144|陈姝|"不过今天下午刚好是周末，街上人不多。走吧。带你去个地方。"|轻描淡写/转移|character|周末/街上/走吧
145|narration|他们从巷子里走出来，走进一条街道。|移动/进入|scene|巷子/街道
146|narration|祁思远前二十五年建立起来的城市认知，在这条街道上出现了严重的兼容性问题。|错位/不适|abstract|城市认知/兼容性问题
147|narration|路面是干净的。太干净了。干净到每一条接缝里都没有尘土。|异常/细节|scene|路面/无尘接缝
148|narration|道路两侧的建筑物不高，五六层，但每一栋都像被覆了一层半透明的膜——不是玻璃幕墙，是一种会缓慢流动的东西，从不同的角度看会显示不同的颜色和信息。|未来感/异质|scene|建筑/半透明膜/流动变色/信息显示
149|narration|一栋楼上浮着一行巨大的汉字，他认出来是"淮海中路第三算力支局"，旁边跟着一排他看不懂的数字和符号，像是某种公共标识。|阅读/异世界|scene|淮海中路/算力支局/数字符号
150|narration|路灯不是灯。是一种悬浮在头顶四米左右的发光球体，没有灯杆，没有电线，在空气里缓缓自转。|悬浮/自转|scene|发光球体/悬浮/无灯杆/自转
151|narration|每一个球体表面都显示着不同的内容——有的是时间，有的是温度，有的是他看不懂的数据流。|信息饱和|scene|球体显示/时间/温度/数据流
152|narration|行人不多，但每一个都走得很快。没有人看他。没有人互相看。|冷漠/效率|scene|行人/快速/无人对视
153|narration|他注意到一个细节：每个人的后颈上都贴着一个指甲盖大小的圆形标签，有的明，有的暗，颜色从浅绿到橙红，像是某种生理指标的实时显示器。|观察/发现|supernatural|后颈标签/明暗/浅绿→橙红/生理指标
154|陈姝|"那是命图指数。"|解释/冷淡|supernatural|命图指数
155|narration|陈姝像是知道他在看什么，头也不回地说。她的步子不快不慢，刚好让他能跟上。|默契/引导|character|头也不回/步子不快不慢
156|陈姝|"每个人从出生就被接入命运华容道模型，实时计算、实时优化、实时分配。后颈那个标签，就是每个人的算力消耗标识。绿色表示模型对你的命运预测稳定，不需要额外计算资源。橙色表示你的命运路径有变动，算力正在紧急纠偏。红色——红色表示模型认为你即将做出危害系统整体最优解的行为。快到头了。"|系统解释/冷酷|supernatural|命运华容道/算力消耗/绿橙红/最优解/到头
157|narration|祁思远看着一个后颈亮着淡红色的男人从对面走过来。|聚焦/观察|character|淡红标签/男人对面走来
158|narration|那个人面无表情，步速均匀，看不出任何外部的异常。|日常/恐怖|character|面无表情/步速均匀/无异常
159|narration|但他走过之后，祁思远发现他身后两米处，跟着一个体型高大的悬浮物——不是无人机，是一种更柔软的东西，形状像被拉长的水滴，表面漆黑，没有发出任何声音。|发现/毛骨悚然|supernatural|悬浮物/拉长水滴/漆黑/无声
160|祁思远|"那东西跟着他？"|紧张/追问|character|悬浮物跟随
161|陈姝|"算力纠察。如果他真的决定做某事，三秒之内就会把他锁在维度夹缝里，等模型重新推演他的替代路径。通常两天之内放出来，路线已经被修正过了。"|冷峻/解释|supernatural|算力纠察/维度夹缝/替代路径/路线修正
162|祁思远|"如果他反抗呢？"|追问/不安|character|反抗
163|陈姝|"没有如果。模型能提前三到五天预测他的行为。等他意识到自己想做什么的时候，纠察队已经在他楼下等了四天了。"|断然/恐怖|supernatural|提前预测/纠察队楼下等
164|narration|祁思远没有说话。他把视线从那颗悬浮的水滴上移开，开始注意别的东西。|沉默/移开视线|hand|视线移开/注意别处
165|narration|街道两侧的店铺。有一家挂着全息招牌的药店，橱窗里陈列的不是药盒，而是一排排密封的培养皿。|观察/异样|scene|全息药店/培养皿
166|narration|一家售卖"基础气质补丁"的店面，门口写着"三天改善抑郁概率·匹配社会最优人际路径"。|荒诞/异化|scene|气质补丁/改善抑郁概率/社会最优路径
167|narration|一家他认不出功能的建筑，门牌上写着"命运校准站·第117号"，门前排着七八个人，表情麻木，像是在等公共厕所。|麻木/恐怖|scene|命运校准站/排队/麻木表情
168|narration|他感到一种从脊椎底部升起来的东西。不是恐惧。不是愤怒。是一种更古老的情绪。|本能/深层不适|abstract|脊椎底部/古老情绪
169|narration|是一个生物被从自然栖息地拎出来、塞进一个完全人工控制的环境里之后，基因深处发出来的那种不适。|退相干/异化|abstract|自然栖息地/人工控制/基因不适
170|陈姝|"很难受？"陈姝看了他一眼。|察觉/关切|character|难受/看
171|祁思远|"说不上来。"|复杂/回避|character|说不上来
172|陈姝|"正常。你们那个时代的人刚来的都会这样。你现在感受到的不是空气，不是光线，不是温度。是算力场的密度。2047年的空气中充满了比2024年高出七个数量级的量子计算波动。你的神经系统在排异。"|专业/安抚|supernatural|算力场密度/七个数量级/量子波动/神经系统排异
173|祁思远|"你呢？"|反问/关心|character|你呢
174|narration|她停了一秒。|停顿/犹豫|character|停顿
175|陈姝|"我从小在这里长大。但去了2024年再回来——"她把剩下半句话咽了回去，加快了脚步。|欲言又止/逃避|character|从小长大/咽回半句/加快脚步
```

---

### 统计摘要

| 项目 | 数量 |
|---|---|
| 总格数 | **175** |
| 角色台词格 | 32（祁思远13 / 陈姝15 / 周姐3 / 林小燕1 / 司机1） |
| 旁白/narration | 143 |
| 涉及角色 | 祁思远、陈姝、周姐、林小燕、司机 |
| 审核类型分布 | scene: 53 / supernatural: 41 / character: 47 / abstract: 19 / hand: 20 |

### 场景节点概览

| 段落 | 格号范围 | 地点 |
|---|---|---|
| 辞职 | 1–8 | 办公室/运营部 |
| 林小燕告别 | 9–14 | 运营部/消防通道 |
| 自我剪断 | 15–16 | (内心独白) |
| 一周断舍离 | 17–22 | 出租屋/苏州河/上海图书馆 |
| 苏州河漫走 | 23–31 | 苏州河畔 |
| 抵达佘山 | 32–38 | 佘山石阶 |
| 开启视觉回路 | 39–44 | 佘山石阶(高维视觉) |
| 内心拷问 | 45–54 | 半山腰 |
| 山顶与陈姝 | 55–80 | 佘山山顶 |
| 穿越问答 | 81–90 | 山顶 |
| 开启穿越仪式 | 91–103 | 山顶(七道蓝线) |
| 高维穿越体验 | 104–119 | 维度夹缝/超空间 |
| 抵达2047 | 120–143 | 巷道/蜜色天空 |
| 走向街道 | 144–152 | 2047年街道 |
| 命图指数规则 | 153–163 | 街道(算力纠察) |
| 异化店铺 | 164–169 | 街道店铺 |
| 算力场排异 | 170–175 | 街道(收尾) |
