以下是第五章的漫画改编层，逐句拆分：

```
格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
41|narration|眼睛黑白分明，神色正常，刘海遮住半张脸，和平时一模一样。|正常/平静|character|张明远，恢复正常
42|张明远|祁哥，你没事吧？|关心/正常|character|张明远，站起身
43|narration|男生站起身，走过来。|关切|character|张明远走近
44|张明远|是不是太累了？我看你脸色不太好。|关心/正常|character|张明远，关切神情
45|narration|那股硫磺味消失了。|诡异消退|supernatural|空气恢复正常
46|narration|办公室里的空气恢复了正常。|平静/诡异余味|scene|办公室全景，恢复寂静
47|narration|祁思远僵在原地，任由男生扶住他的胳膊。|僵硬/本能抗拒|character|祁思远僵立，手扶胳膊
48|narration|他能感觉到那只手的温度——是温的，是正常人的体温。|困惑/动摇|hand|手臂被扶特写
49|祁思远|没……没事。|惊慌未定/强撑|character|祁思远，声音沙哑
50|narration|他听见自己说，声音沙哑得像砂纸。|恐惧余韵|character|祁思远，喉咙紧张
51|祁思远|可能是低血糖。|掩饰/虚弱|character|祁思远，勉强回应
52|张明远|我去给你倒杯热水。|善意/正常|character|张明远，转身离开
53|narration|男生说，转身往茶水间走去。|正常/寻常|character|张明远背影，走向茶水间
54|narration|祁思远看着他离开的背影。|警惕/审视|character|祁思远，凝视背影
55|narration|背影很正常，走路姿势很正常，一切都是正常的。|不安/自我说服|character|背影，一切看似正常
56|narration|但他刚才看见的，不是幻觉。|坚定/恐惧|character|祁思远，眼神笃定
57|narration|第二天，他早早来到公司，翻出人事部的通讯录，找到那个实习生的名字。|急切/求证|scene|清晨，人事通讯录
58|narration|张明远。|凝重|character|记录册上"张明远"名字
59|narration|他记下这个名字，然后装作若无其事地问林小燕|伪装/紧张|character|祁思远，走向林小燕
60|祁思远|小燕，那个新来的实习生，张明远，是哪个学校毕业的？|试探/刻意随意|character|祁思远，假装闲聊
61|narration|林小燕正在啃包子，闻言抬起头，一脸茫然|日常/困惑|character|林小燕，啃包子抬头
62|林小燕|谁？|茫然|character|林小燕，疑惑
63|祁思远|张明远。坐角落那个。|强作镇定/不安|character|祁思远，指向角落
64|narration|林小燕顺着他的目光看向那个角落，然后又看向他，表情更茫然了|困惑/诡异|character|林小燕望向角落，回头
65|林小燕|角落？那里有人吗？|茫然/毛骨悚然|character|林小燕，神情茫然
66|narration|祁思远的心沉了下去。|恐惧/坠落感|character|祁思远，内心沉重
67|narration|中午吃饭的时候，他又问了主管周姐。|焦虑/求证|scene|餐厅，周姐和祁思远
68|narration|周姐皱着眉头想了想，翻了翻手机|思考/困惑|character|周姐，皱眉翻手机
69|周姐|运营部没有叫张明远的啊。你是不是记错了？|疑虑/正常|character|周姐，疑惑
70|narration|下午，他去人事部，借口说想认识一下新同事。|焦虑/执着|scene|人事部
71|narration|人事专员翻了翻花名册，抬头看着他，眼神里带着一丝奇怪的审视|审视/异样|character|人事专员，审视眼神
72|人事|祁思远，运营部最近没有招男实习生。你是不是……压力太大了？|审视/担忧|character|人事专员，话中有话
73|narration|祁思远说没事，可能是自己记错了。|强撑/掩饰|character|祁思远，勉强回应
74|narration|他回到工位，坐在那里，盯着那个角落。|不安/凝视|character|祁思远，坐在工位，望向角落
75|narration|角落里空无一人。|空虚/诡异|scene|空荡角落
76|narration|但就在他盯着看的第三秒，那张脸出现了。|恐怖/惊悚|supernatural|角落空间，脸逐渐浮现
77|narration|从空气里，一点一点浮现出来。|诡异/渐显|supernatural|轮廓→头发→灰色卫衣，逐步浮现
78|narration|先是轮廓，然后是头发，然后是那件永远不换的灰色卫衣。|极致诡异|supernatural|张明远，完整浮现过程
79|narration|那个男生——张明远——坐在那里，对着电脑屏幕，手指在键盘上敲着。|诡谲/一如往常|supernatural|张明远，敲键盘，如常
80|narration|像是从来都在那里一样。|毛骨悚然|supernatural|角落，张明远仿佛一直存在
81|narration|他转过头，看向祁思远。|诡异/对视|supernatural|张明远，转头微笑
82|narration|微微一笑。|冰冷/毛骨悚然|supernatural|张明远微笑特写
83|narration|祁思远低下头，死死盯着面前的单据。|极度恐惧/逃避|character|祁思远低头，盯单据
84|narration|他的手指在发抖，他只能用力攥紧鼠标，让那只手看起来只是"握着"而不是"抖着"。|恐惧/强行克制|hand|手指发抖握鼠标特写
85|narration|他知道自己被什么东西盯上了。|绝望/宿命|character|祁思远，内心觉悟
```

**章节统计**：85格 | 角色分布：narration 66格 / 祁思远 8格 / 张明远 4格 / 周姐 1格 / 林小燕 2格 / 人事 1格
**审核类型**：supernatural 20格 / character 37格 / scene 18格 / hand 4格 / abstract 1格
**核心节奏**：日常铺垫(1-8)→加班夜遇(9-55)→次日出证(56-73)→终极显现(74-85)
